词组,繁体
两只脚赶不上一张嘴,兩隻脚趕不上一張嘴
两台,兩臺
两叶,兩葉
两叶掩目,兩葉掩目
两合公司,兩合公司
两回,兩回
两回事,兩回事
两国关系,兩國關係
两天后,兩天後
两头三面,兩頭三面
两头白面,兩頭白面
两岸关系,兩岸關係
两当,兩當
两当一,兩當一
两当县,兩當縣
两性关系,兩性關係
两情两愿,兩情兩願
两撇胡,兩撇鬍
两方面,兩方面
两板,兩板
两段制,兩段制
两点钟,兩點鐘
两班制,兩班制
两百万,兩百萬
两百多万,兩百多萬
两相情愿,兩相情願
两眼发直,兩眼發直
两种,兩種
两种人,兩種人
两秒钟,兩秒鐘
两腿发软,兩腿發軟
两虎共斗,兩虎共鬥
两虎相斗,兩虎相鬥
两西西里王国,兩西西里王國
两院制,兩院制
两面,兩面
两面三刀,兩面三刀
两面不是人,兩面不是人
两面不讨好,兩面不討好
两面二舌,兩面二舌
两面作战,兩面作戰
两面倒,兩面倒
两面光,兩面光
两面刀,兩面刀
两面夹攻,兩面夾攻
两面性,兩面性
两面手法,兩面手法
两面派,兩面派
两面讨好,兩面討好
两面转圜,兩面轉圜
两面锯,兩面鋸
两面顾全,兩面顧全
两鼠斗穴,兩鼠鬥穴
严丝合缝,嚴絲合縫
严了眼儿,嚴了眼兒
严云农,嚴云農
严冬,嚴冬
严制,嚴制
严加防范,嚴加防範
严复,嚴復
严恶,嚴惡
严重后果,嚴重後果
丧失殆尽,喪失殆盡
丧尽,喪盡
丧尽天良,喪盡天良
丧钟,喪鐘
个体发育,個體發育
个别,個别
个别差异,個别差异
个别性,個别性
个别情况,個别情况
个别指导,個别指導
个别教学,個别教學
个别测验,個别測驗
个别现象,個别現象
个别生产,個别生産
个别谈话,個别談話
个别辅导,個别輔導
个钟,個鐘
个钟表,個鐘錶
中书舍人,中書舍人
中了暑,中了暑
中了标,中了標
中了毒,中了毒
中云,中雲
中介社团,中介社團
中价位,中價位
中低价位,中低價位
中俄关系,中俄關系
中千世界,中千世界
中华台北,中華臺北
中华电视台,中華電視臺
中华苏维埃共和国,中華蘇維埃共和國
中华革命党,中華革命黨
中原板荡,中原板蕩
中原标准时间,中原標準時間
中台,中臺 中颱 中台
中台一,中台一
中台二,中台二
中台医专,中臺醫專
中台增,中台增
中台湾,中臺灣
中台禅寺,中臺禪寺
中台科技大学,中臺科技大學
中叶,中葉
中国共产党,中國共産黨
中国制,中國製
中国制造,中國製造
中国剩余定理,中國剩餘定理
中国历史,中國歷史
中国国民党,中國國民黨
中型钟,中型鐘
中型钟表,中型鐘錶
中型钟表面,中型鐘表面
中型钟面,中型鐘面
中央专制集权,中央專制集權
中央党,中央黨
中央党部,中央黨部
中央台,中央臺
中央广播电台,中央廣播電臺
中央标准局,中央標準局
中央汇金,中央匯金
中央电视台,中央電視臺
中央监控系统,中央監控系統
中央空调系统,中央空調系統
中央面,中央面
中子俘获,中子俘獲
中度台风,中度颱風
中心汇率,中心匯率
中恶,中惡
中懑之症,中懣之症
中才,中才
中控台,中控臺
中控面板,中控面板
中文台,中文臺
中文系,中文系
中文里,中文裏
中日关系,中日關係
中板,中板
中枢系统,中樞系統
中止症,中止症
中比关系,中比關係
中涂,中塗
中港台,中港臺
中盘胜,中盤勝
中秋,中秋
中秋佳节,中秋佳節
中秋帖,中秋帖
中秋月饼,中秋月餅
中秋节,中秋節
中程计划,中程計劃
中筋面粉,中筋麵粉
中签,中籤
中美发表,中美發表
中胡,中胡
中表,中表
中西合并,中西合并
中西合璧,中西合璧
中谷,中谷
中谷有蓷,中谷有蓷
中转柜台,中轉櫃檯
中远集团,中遠集團
中远香港集团,中遠香港集團
中间纤维,中間纖維
中风后,中風後
丰上锐下,豐上鋭下
丰下,豐下
丰丘明,豐丘明
丰业,豐業
丰乐,豐樂
丰乐亭,豐樂亭
丰产,豐産
丰产田,豐産田
丰亨豫大,豐亨豫大
丰仪,丰儀
丰伟,豐偉
丰俭由人,豐儉由人
丰儀,丰儀
丰功,豐功
丰功伟业,豐功偉業
丰功伟绩,豐功偉績
丰功厚利,豐功厚利
丰功大业,豐功大業
丰功懋烈,豐功懋烈
丰功盛烈,豐功盛烈
丰华,豐華
丰南,豐南
丰南区,豐南區
丰厚,豐厚
丰原,豐原
丰原市,豐原市
丰县,豐縣
丰取刻与,豐取刻與
丰台,豐臺
丰台区,豐臺區
丰城,豐城
丰城剑气,豐城劍氣
丰城市,豐城市
丰城贯斗,豐城貫斗
丰壤,豐壤
丰奢,豐奢
丰妍,豐妍
丰姿,丰姿
丰姿冶丽,丰姿冶麗
丰姿绰约,丰姿綽約
丰宁,豐寧
丰宁县,豐寧縣
丰实,豐實
丰容,丰容
丰容靓饰,豐容靚飾
丰富,豐富
丰富多彩,豐富多彩
丰富性,豐富性
丰川悦司,豐川悦司
丰年,豐年
丰年玉,豐年玉
丰年祭,豐年祭
丰年稔岁,豐年稔歲
丰年节,豐年節
丰年虾,豐年蝦
丰度,丰度 豐度
丰悴,豐悴
丰情,丰情
丰收,豐收
丰收年,豐收年
丰本,豐本
丰杀,豐殺
丰标,丰標
丰标不凡,丰標不凡
丰歉,豐歉
丰殖,豐殖
丰水,豐水
丰水期,豐水期
丰沛,豐沛
丰注,豐注
丰泽,豐澤
丰泽区,豐澤區
丰润,豐潤
丰润区,豐潤區
丰渔桥,豐漁橋
丰溪里,豐溪里
丰满,豐滿
丰满区,豐滿區
丰滨,豐濱
丰滨乡,豐濱鄉
丰炽,豐熾
丰熟,豐熟
丰田,豐田
丰登,豐登
丰盈,豐盈
丰盛,豐盛
丰硕,豐碩
丰碑,豐碑
丰神,丰神
丰神俊美,丰神俊美
丰神异彩,豐神异彩
丰神绰约,丰神綽約
丰神飘洒,丰神飄灑
丰稔,豐稔
丰穰,豐穰
丰美,豐美
丰耗,豐耗
丰肌,豐肌
丰胸,豐胸
丰腆,豐腆
丰腴,豐腴
丰臣秀吉,豐臣秀吉
丰若晖,豐若暉
丰若有肌柔若无骨,丰若有肌柔若無骨
丰茂,豐茂
丰茸,丰茸
丰草,豐草
丰蔚,豐蔚
丰衍,豐衍
丰衣足食,豐衣足食
丰裕,豐裕
丰赡,豐贍
丰足,豐足
丰都,豐都
丰都县,豐都縣
丰采,丰采
丰镇,豐鎮
丰镇市,豐鎮市
丰镐,豐鎬
丰隆,豐隆
丰韵,丰韵
丰韻,丰韻
丰顺,豐順
丰顺县,豐順縣
丰颊,豐頰
丰饶,豐饒
丰饶丰足,豐饒豐足
串出来,串出來
临别,臨别
临别依依,臨别依依
临别时,臨别時
临别赠言,臨别贈言
临制,臨制
临危致命,臨危致命
临去秋波,臨去秋波
临夏回族自治州,臨夏回族自治州
临床特征,臨床特徵
临机制变,臨機制變
临机制胜,臨機制勝
临江折轴,臨江折軸
临潼斗宝,臨潼鬥寶
丹台,丹臺
丹干,丹干
丹朱,丹朱
为中台,爲中颱
为了,爲了
为人师表,爲人師表
为准,爲準
为恶不悛,爲惡不悛
为模范,爲模範
为规范,爲規範
主仆,主僕
主席台,主席臺
主席团,主席團
主干,主幹
主干家庭,主幹家庭
主干线,主幹綫
主干网络,主幹網絡
主干网路,主幹網路
主控台,主控臺
主播台,主播臺
主教团,主教團
主普坛,主普壇
主机板,主機板
主板,主板
主法向量,主法向量
主画面,主畫面
主要树种,主要樹種
主钟差,主鐘差
主钟曲线,主鐘曲綫
主题曲,主題曲
主题论坛区,主題論壇區
丽舍,麗舍
举不胜举,舉不勝舉
举了,舉了
举例发凡,舉例發凡
举出,舉出
举出来,舉出來
举发,舉發
举手表,舉手表
举手表决,舉手表决
举措失当,舉措失當
举目千里,舉目千里
举荐征辟,舉薦征辟
乃里,乃里
久仰山斗,久仰山斗
久别,久别
久别相逢,久别相逢
久别重逢,久别重逢
久违颜范,久違顔範
义义合合,義義合合
义仆,義僕
义和团,義和團
义大利面,義大利麵
义气干霄,義氣干霄
义薄云天,義薄雲天
之余,之餘
之八九只,之八九衹
之后,之後
之征,之徵
之秋,之秋
之钟,之鐘
乌东察克,烏東察克
乌东査克,烏東查克
乌云,烏雲
乌云密布,烏雲密布
乌云蔽日,烏雲蔽日
乌什塔拉回族乡,烏什塔拉回族鄉
乌克丽丽,烏克麗麗
乌克兰,烏克蘭
乌克兰人,烏克蘭人
乌克兰籍,烏克蘭籍
乌克兰队,烏克蘭隊
乌兹冲锋枪,烏茲衝鋒槍
乌兹别克,烏茲别克
乌兹别克人,烏茲别克人
乌兹别克共和国,烏茲别克共和國
乌兹别克斯坦,烏茲别克斯坦
乌兹别克族,烏茲别克族
乌冬面,烏冬麵
乌发,烏髮
乌合,烏合
乌合之众,烏合之衆
乌合之卒,烏合之卒
乌孜别克,烏孜别克
乌孜别克族,烏孜别克族
乌孜别克语,烏孜别克語
乌干达,烏干達
乌干达共和国,烏干達共和國
乌当,烏當
乌当区,烏當區
乌拉特后旗,烏拉特後旗
乌松,烏松
乌沈沈,烏沈沈
乌涂,烏塗
乌涂水,烏塗水
乌滋别克,烏滋别克
乌滋别克斯坦,烏滋别克斯坦
乌狗吃食白狗当灾,烏狗吃食白狗當灾
乌苏,烏蘇
乌苏市,烏蘇市
乌苏拉,烏蘇拉
乌苏里斯克,烏蘇里斯克
乌苏里江,烏蘇里江
乌获,烏獲
乌菲兹美术馆,烏菲茲美術館
乌里,烏里
乌里雅苏台,烏里雅蘇臺
乌鲁克恰提,烏魯克恰提
乌鲁克恰提县,烏魯克恰提縣
乌鲁克穆河,烏魯克穆河
乌龙面,烏龍麵
乏困,乏困
乐合彩,樂合彩
乐器钟,樂器鐘
乐团,樂團
乐坏了,樂壞了
乐坛,樂壇
乐曲,樂曲
乐颠了馅,樂顛了餡
乒乓球台,乒乓球檯
乔做胡为,喬做胡爲
乔德里,喬德里
乔才,喬才
乔松,喬松
乔松之寿,喬松之壽
乔治克隆尼,喬治克隆尼
乔治克鲁尼,喬治克魯尼
乖别,乖别
乘了,乘了
乘云,乘雲
乘奔御风,乘奔御風
乘法表,乘法表
乘胜,乘勝
乘胜追击,乘勝追擊
乘胜逐北,乘勝逐北
乘鹤驾云,乘鶴駕雲
乙丑,乙丑
乙种,乙種
乙种射线,乙種射綫
乙种粒子,乙種粒子
乙种维生素,乙種維生素
九九乘法表,九九乘法表
九九表,九九表
九亿五千万,九億五千萬
九余,九餘
九冬,九冬
九出戏,九齣戲
九出祁山,九出祁山
九分钟,九分鐘
九划,九劃
九千点,九千點
九只,九隻
九台,九臺
九台市,九臺市
九合,九合
九合一匡,九合一匡
九回肠,九迴腸
九天后,九天後
九宵云,九宵雲
九宵云外,九宵雲外
九折,九折
九折优待,九折優待
九折臂,九折臂
九曲,九曲
九曲桥,九曲橋
九曲洞,九曲洞
九点钟,九點鐘
九百万,九百萬
九秋,九秋
九秒钟,九秒鐘
九章算术,九章算術
九谷,九穀
九里,九里
九里余,九里餘
九里区,九里區
九零后,九零後
九霄云外,九霄雲外
九面体,九面體
九龙表行,九龍表行
乞留恶滥,乞留惡濫
乞留曲律,乞留曲律
也不尽然,也不盡然
也克制,也剋制
也向,也向
也斗了胆,也斗了膽
也舍下,也捨下
也须,也須
习非胜是,習非勝是
乡党,鄉黨
乡党尚齿,鄉黨尚齒
乡团,鄉團
乡土艺术,鄉土藝術
乡愿,鄉愿
乡曲,鄉曲
乡曲之誉,鄉曲之譽
乡民代表,鄉民代表
乡民代表会,鄉民代表會
乡里,鄉里
乡里小人,鄉里小人
乡镇代表,鄉鎮代表
乡镇民代表,鄉鎮民代表
乡间别墅,鄉間别墅
乡面,鄉面
书不尽,書不盡
书不尽言,書不盡言
书中自有千钟粟,書中自有千鍾粟
书写不能症,書寫不能症
书卷,書卷
书卷奖,書卷奬
书卷气,書卷氣
书台,書檯
书后,書後
书坛,書壇
书柜,書櫃
书种,書種
书签,書籤
书系,書系
书面,書面
书面上,書面上
书面报告,書面報告
书面纸,書面紙
书面许可,書面許可
书面语,書面語
书面资料,書面資料
乩坛,乩壇
买了,買了
买价,買價
买咸鱼放生,買鹹魚放生
买回,買回
买回去,買回去
买回家,買回家
买回来,買回來
买汇,買匯
买物历,買物歷
买臣复水,買臣覆水
买面子,買面子
买风云雷雨,買風雲雷雨
乱了,亂了
乱了手脚,亂了手脚
乱作一团,亂作一團
乱党,亂黨
乱冲,亂衝
乱发,亂髮
乱成一团,亂成一團
乱搞男女关系,亂搞男女關係
乱松松,亂鬆鬆
乱棒胡敲,亂棒胡敲
乱涂,亂塗
乱集团,亂集團
乱首垢面,亂首垢面
乳制品,乳製品
乳液聚合,乳液聚合
乳糖不耐症,乳糖不耐症
乳臭未干,乳臭未乾
乾尽午中,乾盡午中
乾象历,乾象曆
了不得,了不得
了不成,了不成
了不起,了不起
了了,了了
了事,了事
了事环,了事環
了债,了債
了儿,了兒
了决,了决
了劣,了劣
了却,了却
了却此生,了却此生
了去,了去
了如,瞭如
了如指掌,瞭如指掌
了局,了局
了帐,了帳
了当,了當
了当不得,了當不得
了得,了得
了得了,了得了
了悟,了悟
了愿,了願
了手,了手
了收,了收
了断,了斷
了无,了無
了无挂碍,了無挂礙
了无新意,了無新意
了无牵挂,了無牽挂
了无生机,了無生機
了无生趣,了無生趣
了无痕迹,了無痕迹
了无罣碍,了無罣礙
了无长进,了無長進
了望,瞭望
了望台,瞭望臺
了望塔,瞭望塔
了望山,瞭望山
了望所,瞭望所
了案,了案
了此残生,了此殘生
了毕,了畢
了清,了清
了然,瞭然
了然不惑,瞭然不惑
了然于心,瞭然于心
了纳,了納
了结,了結
了若指掌,瞭若指掌
了落,了落
了解,瞭解
了解到,瞭解到
了讫,了訖
了话,了話
了语,了語
了账,了賬
了身达命,了身達命
了鸟,了鳥
争了,争了
争先发言,争先發言
争先后,争先後
争先恐后,争先恐後
争出,争出
争奇斗妍,争奇鬥妍
争奇斗异,争奇鬥异
争奇斗艳,争奇鬥艷
争妍斗奇,争妍鬥奇
争妍斗胜,争妍鬥勝
争妍斗艳,争妍鬥艷
争强好胜,争强好勝
争强斗胜,争强鬥勝
争强显胜,争强顯勝
争强赌胜,争强賭勝
争斗,争鬥
争斗不休,争鬥不休
争相罗致,争相羅致
争红斗紫,争紅鬥紫
争胜,争勝
争胜要强,争勝要强
争面子,争面子
事与愿违,事與願違
事也干,事也幹
事出,事出
事出不意,事出不意
事出不测,事出不測
事出有因,事出有因
事前事后,事前事後
事发,事發
事发地点,事發地點
事发时,事發時
事可干,事可幹
事后,事後
事后聪明,事後聰明
事后诸葛亮,事後諸葛亮
事好干,事好幹
事实胜于雄辩,事實勝于雄辯
事干,事幹
事态发展,事態發展
事情可干,事情可幹
事情好干,事情好幹
事情干脆,事情干脆
事成之后,事成之後
事有斗巧,事有鬥巧
二价,二價
二余,二餘
二党制,二黨制
二六板,二六板
二冲程引擎,二衝程引擎
二出祁山,二出祁山
二分钟,二分鐘
二划,二劃
二叠系,二叠系
二只,二隻
二台,二臺
二叶松,二葉松
二合一,二合一
二回,二回
二回熟,二回熟
二堂舍子,二堂舍子
二天后,二天後
二屋里,二屋裏
二年制,二年制
二恶英,二噁英
二拉八当,二拉八當
二撇胡,二撇鬍
二斗,二斗
二板,二板
二柜,二櫃
二次曲,二次曲
二次曲线,二次曲綫
二次曲面,二次曲面
二段制,二段制
二流人才,二流人才
二点钟,二點鐘
二班制,二班制
二田制,二田制
二百万,二百萬
二百多万,二百多萬
二种,二種
二秒钟,二秒鐘
二缶钟惑,二缶鐘惑
二老板,二老闆
二胡,二胡
二致,二致
二苏,二蘇
二虎相斗,二虎相鬥
二表哥,二表哥
二表妹,二表妹
二表姊,二表姊
二表姊夫,二表姊夫
二表姐,二表姐
二表嫂,二表嫂
二表弟,二表弟
二进位制,二進位制
二进制,二進制
二部制,二部制
二部合唱,二部合唱
二部曲,二部曲
二里,二里
二里头,二里頭
二里头文化,二里頭文化
二重分类表,二重分類表
二门不出,二門不出
二面角,二面角
二项式系数,二項式係數
于丑,于醜
于余曲折,于餘曲折
于克勒,于克勒
于台烟,于臺烟
于后,于後
于奇库杜克,于奇庫杜克
于子千,于子千
于家,于家
于家为国,于家爲國
于家堡,于家堡
于尔里克,于爾里克
于尽,于盡
于广洲,于廣洲
